你高三的精神支柱是什么？
关键字：无
序号,作者昵称,回答链接,主页链接
1.,江湖夜雨,"https://www.zhihu.com/question/('418547547',)/answer/1459755208",https://www.zhihu.com/people/chun-liang-de-li-ke-sheng
2.,匿名用户,"https://www.zhihu.com/question/('418547547',)/answer/1461336451", 
3.,雪野兔,"https://www.zhihu.com/question/('418547547',)/answer/1454938498",https://www.zhihu.com/people/shimf
4.,Su fan,"https://www.zhihu.com/question/('418547547',)/answer/1457378213",https://www.zhihu.com/people/su-fan-76-70
5.,我真的挺白,"https://www.zhihu.com/question/('418547547',)/answer/1452568367",https://www.zhihu.com/people/mozziezyw
6.,小囧搜题,"https://www.zhihu.com/question/('418547547',)/answer/1453649030",https://www.zhihu.com/people/xiao-jiong-sou-ti
7.,喵斯拉大王,"https://www.zhihu.com/question/('418547547',)/answer/1453455202",https://www.zhihu.com/people/he-xian-sheng-2-74
8.,永远的肯斗士CC,"https://www.zhihu.com/question/('418547547',)/answer/1467333331",https://www.zhihu.com/people/cha-cha-27-8
9.,一般通过车万人,"https://www.zhihu.com/question/('418547547',)/answer/1457409278",https://www.zhihu.com/people/dong-hang-yu
10.,梅囿仁,"https://www.zhihu.com/question/('418547547',)/answer/1452325026",https://www.zhihu.com/people/mei-you-ren-24-54
11.,一笑琅然,"https://www.zhihu.com/question/('418547547',)/answer/1450547841",https://www.zhihu.com/people/yixiao-lang-ran-32
12.,王嘉禾,"https://www.zhihu.com/question/('418547547',)/answer/1453786036",https://www.zhihu.com/people/lin-zi-64-64
13.,Healer,"https://www.zhihu.com/question/('418547547',)/answer/1445116079",https://www.zhihu.com/people/healer-2-26-66
14.,马蓝蓝,"https://www.zhihu.com/question/('418547547',)/answer/1459054202",https://www.zhihu.com/people/fishoflaw
15.,森木纸,"https://www.zhihu.com/question/('418547547',)/answer/1457163264",https://www.zhihu.com/people/zuo-wen-zhi-tiao-sen-mu-zhi
16.,郑爱笑,"https://www.zhihu.com/question/('418547547',)/answer/1449796275",https://www.zhihu.com/people/zheng-ai-xiao-37
17.,奶思nice,"https://www.zhihu.com/question/('418547547',)/answer/1451925489",https://www.zhihu.com/people/an-san-an-san
18.,知乎用户,"https://www.zhihu.com/question/('418547547',)/answer/1451918599",https://www.zhihu.com/people/
19.,长星,"https://www.zhihu.com/question/('418547547',)/answer/1462165987",https://www.zhihu.com/people/li-jiu-mu-60
20.,拣落lololo,"https://www.zhihu.com/question/('418547547',)/answer/1461306111",https://www.zhihu.com/people/bu-zhi-dao-82-82-81
21.,虚空济,"https://www.zhihu.com/question/('418547547',)/answer/1449233660",https://www.zhihu.com/people/xu-kong-ji-88
22.,岑琛,"https://www.zhihu.com/question/('418547547',)/answer/1455717625",https://www.zhihu.com/people/cen-chen-37-59
23.,Accltr墨从简归,"https://www.zhihu.com/question/('418547547',)/answer/1449525513",https://www.zhihu.com/people/accltr
24.,高中知识汇,"https://www.zhihu.com/question/('418547547',)/answer/1449179559",https://www.zhihu.com/people/gao-zhong-zhi-shi-hui
25.,锡锡小仙子,"https://www.zhihu.com/question/('418547547',)/answer/1453615860",https://www.zhihu.com/people/xi-xi-xiao-xian-zi-44
26.,Echo,"https://www.zhihu.com/question/('418547547',)/answer/1450276758",https://www.zhihu.com/people/mu-mian-ruo-xi
27.,爱说话的猫,"https://www.zhihu.com/question/('418547547',)/answer/1449122191",https://www.zhihu.com/people/cui-ge-59-82
28.,摇摇乐,"https://www.zhihu.com/question/('418547547',)/answer/1473810477",https://www.zhihu.com/people/yao-yao-le-56-48
29.,susu,"https://www.zhihu.com/question/('418547547',)/answer/1459358092",https://www.zhihu.com/people/susu-16-32
30.,全元饿人,"https://www.zhihu.com/question/('418547547',)/answer/1450517856",https://www.zhihu.com/people/lang-jun-qwq
31.,seagull海鸥,"https://www.zhihu.com/question/('418547547',)/answer/1459681334",https://www.zhihu.com/people/dian-qian-yang-liu
32.,漆酒不是七九,"https://www.zhihu.com/question/('418547547',)/answer/1471442912",https://www.zhihu.com/people/fiona-24-46
33.,木南,"https://www.zhihu.com/question/('418547547',)/answer/1454082680",https://www.zhihu.com/people/mu-nan-74-41
34.,匿名用户,"https://www.zhihu.com/question/('418547547',)/answer/1452033686", 
35.,肆穆,"https://www.zhihu.com/question/('418547547',)/answer/1472620975",https://www.zhihu.com/people/si-mu-9-44
36.,卡西是少年,"https://www.zhihu.com/question/('418547547',)/answer/1450515827",https://www.zhihu.com/people/qia-xi-shi-shao-nian
37.,匿名用户,"https://www.zhihu.com/question/('418547547',)/answer/1460225182", 
38.,FGCE,"https://www.zhihu.com/question/('418547547',)/answer/1458952166",https://www.zhihu.com/people/fgce
39.,阿弥陀佛,"https://www.zhihu.com/question/('418547547',)/answer/1472276237",https://www.zhihu.com/people/a-mi-tuo-fo-69-23
40.,匿名用户,"https://www.zhihu.com/question/('418547547',)/answer/1468538513", 
41.,匿名用户,"https://www.zhihu.com/question/('418547547',)/answer/1459013398", 
42.,焦绿,"https://www.zhihu.com/question/('418547547',)/answer/1448929107",https://www.zhihu.com/people/jiao-lu-63-70
43.,XC.Chen,"https://www.zhihu.com/question/('418547547',)/answer/1451727868",https://www.zhihu.com/people/xc-chen-81
44.,weu,"https://www.zhihu.com/question/('418547547',)/answer/1459629103",https://www.zhihu.com/people/weu-13
45.,子辰,"https://www.zhihu.com/question/('418547547',)/answer/1465811080",https://www.zhihu.com/people/zi-chen-37-89-87
46.,年少读诗,"https://www.zhihu.com/question/('418547547',)/answer/1455287497",https://www.zhihu.com/people/su-wan-ying-42
47.,桑德斯闪电,"https://www.zhihu.com/question/('418547547',)/answer/1452533551",https://www.zhihu.com/people/sang-de-si-shan-dian
48.,意子心心,"https://www.zhihu.com/question/('418547547',)/answer/1455833671",https://www.zhihu.com/people/nuan-qi-14
49.,sunnnny,"https://www.zhihu.com/question/('418547547',)/answer/1455778954",https://www.zhihu.com/people/sunnnny-10
50.,知乎用户,"https://www.zhihu.com/question/('418547547',)/answer/1455385632",https://www.zhihu.com/people/
