男博士生忙且科研圈子小，该怎样找女朋友？
关键字：无
序号,作者昵称,回答链接,主页链接
1.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1370485385",https://www.zhihu.com/people/
2.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1368847749",https://www.zhihu.com/people/
3.,风筝,"https://www.zhihu.com/question/('409288130',)/answer/1378837681",https://www.zhihu.com/people/feng-zheng-68-32
4.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1388682614",https://www.zhihu.com/people/
5.,TimothyL,"https://www.zhihu.com/question/('409288130',)/answer/1387652960",https://www.zhihu.com/people/hei-an-zhi-zheng-guan
6.,这样正好七个字,"https://www.zhihu.com/question/('409288130',)/answer/1372567411",https://www.zhihu.com/people/sfuaega
7.,没事别墨迹,"https://www.zhihu.com/question/('409288130',)/answer/1407732510",https://www.zhihu.com/people/msbmj
8.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1385582340",https://www.zhihu.com/people/
9.,毕业至上,"https://www.zhihu.com/question/('409288130',)/answer/1370087710",https://www.zhihu.com/people/wu-man-16
10.,Siena,"https://www.zhihu.com/question/('409288130',)/answer/1389128041",https://www.zhihu.com/people/ruo-xi-2-14
11.,子小一木贞,"https://www.zhihu.com/question/('409288130',)/answer/1368893542",https://www.zhihu.com/people/sun-yizhen-64
12.,留德华叫兽,"https://www.zhihu.com/question/('409288130',)/answer/1448496657",https://www.zhihu.com/people/ruobingshen
13.,卜卜界的情感大师,"https://www.zhihu.com/question/('409288130',)/answer/1390093664",https://www.zhihu.com/people/xia-xia-14-90
14.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1398890218",https://www.zhihu.com/people/
15.,sx80904,"https://www.zhihu.com/question/('409288130',)/answer/1391152712",https://www.zhihu.com/people/sx80904
16.,大理想家,"https://www.zhihu.com/question/('409288130',)/answer/1376653496",https://www.zhihu.com/people/GreatDreamerRust
17.,小千,"https://www.zhihu.com/question/('409288130',)/answer/1388563022",https://www.zhihu.com/people/xiao-qian-56-28-66
18.,千牛卫,"https://www.zhihu.com/question/('409288130',)/answer/1405206991",https://www.zhihu.com/people/qian-niu-wei-93
19.,诺天王,"https://www.zhihu.com/question/('409288130',)/answer/1390320458",https://www.zhihu.com/people/wang-miao-lu-64
20.,半岛皇家饭盒,"https://www.zhihu.com/question/('409288130',)/answer/1362992104",https://www.zhihu.com/people/jiao-wo-guan-ren-34-86
21.,bushobama,"https://www.zhihu.com/question/('409288130',)/answer/1398084484",https://www.zhihu.com/people/bushobama
22.,鲤琨,"https://www.zhihu.com/question/('409288130',)/answer/1391638462",https://www.zhihu.com/people/joyo-31
23.,奶奶会骑小摩托,"https://www.zhihu.com/question/('409288130',)/answer/1379700335",https://www.zhihu.com/people/yike-wan-zi-94-14
24.,知学桥,"https://www.zhihu.com/question/('409288130',)/answer/1377039228",https://www.zhihu.com/people/liu-jia-neng-65
25.,这一生,"https://www.zhihu.com/question/('409288130',)/answer/1392344787",https://www.zhihu.com/people/zhou-shuang-83-10
26.,怒放心花,"https://www.zhihu.com/question/('409288130',)/answer/1433716810",https://www.zhihu.com/people/nssa-56
27.,刘湃,"https://www.zhihu.com/question/('409288130',)/answer/1372777481",https://www.zhihu.com/people/liu-pai-27-73
28.,sara,"https://www.zhihu.com/question/('409288130',)/answer/1422756252",https://www.zhihu.com/people/sara-65-49
29.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1397157469", 
30.,山谷,"https://www.zhihu.com/question/('409288130',)/answer/1370906385",https://www.zhihu.com/people/shan-gu-36
31.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1386650882",https://www.zhihu.com/people/
32.,Nostradamusl,"https://www.zhihu.com/question/('409288130',)/answer/1388825089",https://www.zhihu.com/people/liu-guo-long-10
33.,Minglijiyi,"https://www.zhihu.com/question/('409288130',)/answer/1377738139",https://www.zhihu.com/people/minglijiyi
34.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1405921482",https://www.zhihu.com/people/
35.,Ming,"https://www.zhihu.com/question/('409288130',)/answer/1468053439",https://www.zhihu.com/people/xi-gua-xi-gua-66-27
36.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1395723951",https://www.zhihu.com/people/
37.,玉儿Katherine,"https://www.zhihu.com/question/('409288130',)/answer/1460548607",https://www.zhihu.com/people/yin-qi-shuo-37
38.,武方拙,"https://www.zhihu.com/question/('409288130',)/answer/1360425068",https://www.zhihu.com/people/wu-fang-zhuo
39.,肤浅,"https://www.zhihu.com/question/('409288130',)/answer/1384341771",https://www.zhihu.com/people/fu-qian-40-32
40.,选择沉默,"https://www.zhihu.com/question/('409288130',)/answer/1388459757",https://www.zhihu.com/people/an-ying-jun-66
41.,他乡醉客,"https://www.zhihu.com/question/('409288130',)/answer/1461870114",https://www.zhihu.com/people/il2fn
42.,老知乎马甲,"https://www.zhihu.com/question/('409288130',)/answer/1370420972",https://www.zhihu.com/people/chen-ming-5-41
43.,游易,"https://www.zhihu.com/question/('409288130',)/answer/1375064684",https://www.zhihu.com/people/you-yi-91-70
44.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1449903383",https://www.zhihu.com/people/
45.,爱吐故事的鱼,"https://www.zhihu.com/question/('409288130',)/answer/1432399930",https://www.zhihu.com/people/chi-liao-ning-meng-de-xi-gua
46.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1406422909",https://www.zhihu.com/people/
47.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1422335905", 
48.,yuan,"https://www.zhihu.com/question/('409288130',)/answer/1442117350",https://www.zhihu.com/people/yuan-35-87
49.,刀可它盆盆,"https://www.zhihu.com/question/('409288130',)/answer/1419093707",https://www.zhihu.com/people/pen-pen-kai-mu
50.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1371814605",https://www.zhihu.com/people/
51.,蔡宇,"https://www.zhihu.com/question/('409288130',)/answer/1385719512",https://www.zhihu.com/people/cai-yu-87-94
52.,KAONG WANG,"https://www.zhihu.com/question/('409288130',)/answer/1399620916",https://www.zhihu.com/people/huang-guang-hao-10
53.,青葙子,"https://www.zhihu.com/question/('409288130',)/answer/1395884964",https://www.zhihu.com/people/qing-xiang-zi-52
54.,蒙小姐,"https://www.zhihu.com/question/('409288130',)/answer/1366853370",https://www.zhihu.com/people/lei-li-54-67-87
55.,Victoria,"https://www.zhihu.com/question/('409288130',)/answer/1383961474",https://www.zhihu.com/people/jun-wang-san-bai-zhou-86
56.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1468404044",https://www.zhihu.com/people/
57.,科学家,"https://www.zhihu.com/question/('409288130',)/answer/1442435289",https://www.zhihu.com/people/ke-xue-jia-88-23
58.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1392264544",https://www.zhihu.com/people/
59.,hyacinth,"https://www.zhihu.com/question/('409288130',)/answer/1365076736",https://www.zhihu.com/people/hyacinth-16
60.,美滋滋的跑跳步,"https://www.zhihu.com/question/('409288130',)/answer/1372343323",https://www.zhihu.com/people/karena-28
61.,AinoChen,"https://www.zhihu.com/question/('409288130',)/answer/1372477401",https://www.zhihu.com/people/ainochen
62.,ProbNong,"https://www.zhihu.com/question/('409288130',)/answer/1471869111",https://www.zhihu.com/people/probnong
63.,Vivian S,"https://www.zhihu.com/question/('409288130',)/answer/1369003041",https://www.zhihu.com/people/wei-shen-46
64.,Virophage,"https://www.zhihu.com/question/('409288130',)/answer/1388713720",https://www.zhihu.com/people/xiao-qian-44-93
65.,学渣翌,"https://www.zhihu.com/question/('409288130',)/answer/1448694016",https://www.zhihu.com/people/luo-yi-yang-97
66.,xiaodu,"https://www.zhihu.com/question/('409288130',)/answer/1405629905",https://www.zhihu.com/people/xiaodu-34
67.,一直在努力的大宇,"https://www.zhihu.com/question/('409288130',)/answer/1374649086",https://www.zhihu.com/people/zhou-yu-39-16
68.,AssumeWDZY,"https://www.zhihu.com/question/('409288130',)/answer/1471851594",https://www.zhihu.com/people/michaeljackson-51
69.,古语,"https://www.zhihu.com/question/('409288130',)/answer/1458803710",https://www.zhihu.com/people/gu-yu-76-17
70.,Sarah,"https://www.zhihu.com/question/('409288130',)/answer/1451427685",https://www.zhihu.com/people/sarah-86-37
71.,djxxzh,"https://www.zhihu.com/question/('409288130',)/answer/1438832658",https://www.zhihu.com/people/djxxzh
72.,Happy紫泡泡,"https://www.zhihu.com/question/('409288130',)/answer/1420038707",https://www.zhihu.com/people/happyzi-pao-pao
73.,惜细,"https://www.zhihu.com/question/('409288130',)/answer/1392481937",https://www.zhihu.com/people/xie-mi-66
74.,阿芙乐尔,"https://www.zhihu.com/question/('409288130',)/answer/1392269847",https://www.zhihu.com/people/xiao-xiong-ying-42
75.,MinVoli,"https://www.zhihu.com/question/('409288130',)/answer/1386721365",https://www.zhihu.com/people/minvoli
76.,Sarah,"https://www.zhihu.com/question/('409288130',)/answer/1378478930",https://www.zhihu.com/people/sarah-2-67
77.,眷秋,"https://www.zhihu.com/question/('409288130',)/answer/1373182958",https://www.zhihu.com/people/qi-pa-guo-zi
78.,梦公子,"https://www.zhihu.com/question/('409288130',)/answer/1370492933",https://www.zhihu.com/people/meng-nan-52-3
79.,尧善,"https://www.zhihu.com/question/('409288130',)/answer/1369589672",https://www.zhihu.com/people/yao-shan-69
80.,狄凯,"https://www.zhihu.com/question/('409288130',)/answer/1369107269",https://www.zhihu.com/people/di-kai-24
81.,小泉博士,"https://www.zhihu.com/question/('409288130',)/answer/1369003991",https://www.zhihu.com/people/sui-feng-93-70
82.,小花朵,"https://www.zhihu.com/question/('409288130',)/answer/1368696696",https://www.zhihu.com/people/cherry-36-75-38
83.,rain,"https://www.zhihu.com/question/('409288130',)/answer/1368006943",https://www.zhihu.com/people/rain-16-94
84.,落地葫芦咚咚咚,"https://www.zhihu.com/question/('409288130',)/answer/1367495098",https://www.zhihu.com/people/luo-di-hu-lu-dong-dong-dong
85.,谢小只0809,"https://www.zhihu.com/question/('409288130',)/answer/1366792702",https://www.zhihu.com/people/xie-xiao-zhi-0809
86.,莳叁,"https://www.zhihu.com/question/('409288130',)/answer/1392035349",https://www.zhihu.com/people/li-neng-neng-48
87.,今晚吃小鱼干,"https://www.zhihu.com/question/('409288130',)/answer/1386695656",https://www.zhihu.com/people/caomufeiniao
88.,呢喃芥,"https://www.zhihu.com/question/('409288130',)/answer/1393888695",https://www.zhihu.com/people/may-8-89-10
89.,Isaac·Bonaparte,"https://www.zhihu.com/question/('409288130',)/answer/1371129002",https://www.zhihu.com/people/ai-sa-ke-bo-na-ba
90.,知乎用户,"https://www.zhihu.com/question/('409288130',)/answer/1388946105",https://www.zhihu.com/people/
91.,自闭,"https://www.zhihu.com/question/('409288130',)/answer/1391317128",https://www.zhihu.com/people/zi-bi-74-17
92.,张少半仙,"https://www.zhihu.com/question/('409288130',)/answer/1367467671",https://www.zhihu.com/people/zhang-shao-ban-xian
93.,匿名用户,"https://www.zhihu.com/question/('409288130',)/answer/1390022614", 
